E_keV,M
0.0010061404353854434,457601.1482796531
0.0010184967160497753,447110.7694103452
0.0010310047426001548,436860.8793337242
0.0010436663786081986,426845.9649186757
0.0010564835105318048,417060.63942116295
0.0010694580479962185,407499.6658813914
0.0010825919240785445,398157.8485093719
0.0010958870955957586,389030.1895130979
0.0011093455433962521,380111.7793779912
0.0011229692726549604,371397.8211386941
0.0011367603131721125,362883.627798525
0.0011507207196756516,354564.6198088412
0.0011648525721273699,346436.3226056831
0.0011791579760328007,338494.3642031612
0.0011936390627549196,330734.47284171596
0.001208297989831695,323152.47469049145
0.00122313694129754,315744.2916024622
0.0012381581280087124,308505.93892089237
0.00125336378797271,301433.5233359159
0.0012687561866817118,294523.24079059873
0.0012843376174501127,287771.39300457196
0.0013001104017562057,281174.3107704562
0.0013160768895880593,274728.4647050998
0.0013322394597936403,268430.38776577625
0.0013486005204352415,262276.6923906507
0.001365162509148257,256264.06867662995
0.0013819278935043658,250389.2825991587
0.0013988991713791764,244649.17427269198
0.0014160788713243843,239040.6562510432
0.001433469552944502,233560.71186681563
0.0014510738072782137,228206.3936085383
0.0014688942571844158,222974.82153589636
0.001486933557732995,217863.19578857545
0.0015051943966004084,212868.7385166827
0.0015236794944701202,207988.77772716884
0.0015423916054379575,203220.6886232999
0.001561333517422441,198561.906580568
0.0015805080525801598,194009.9257681155
0.0015999180677262422,189562.29780018248
0.0016195664547599947,185216.63041963155
0.0016394561410957651,180970.58621110715
0.0016595900900990984,176821.88134360698
0.0016799713015282491,172768.29549082802
0.0017006028119811159,168807.62578136203
0.001721487695347662,164937.7532891607
0.0017426290632678977,161156.59651574196
0.001764030065595482,157462.12168011634
0.0017856938908670183,153852.34162512756
0.0018076237667771179,150325.314748548
0.0018298229606592907,146879.1439588423
0.0018522947799727483,143511.97565474862
0.0018750425727951812,140221.99872809867
0.0018980697283215893,137007.4524308197
0.0019213796773692384,133866.58985667638
0.0019449758928888178,130797.73066951866
0.001968861890481875,127799.22421324502
0.001993041228924606,124869.45767286257
0.002017517510698078,122006.85520649274
0.0020422943825249614,119209.87709783412
0.002067375535912858,116477.01892833157
0.002092764707704296,113806.81076757806
0.0021184656806334844,111197.82355840964
0.0021444822838899025,108648.63947797682
0.0021708183936888104,106157.894732906
0.002197477933848766,103724.24961893662
0.002224464876376237,101346.3951441826
0.00225178324205739,99023.05232482115
0.0022794371010571445,96752.97774089676
0.0023074305735255917,94534.93774721335
0.0023357678302118514,92367.74570972458
0.0023644530930854776,90250.23595417714
0.0023934906359654833,88181.26952906097
0.002422884785157102,86159.73359296485
0.002452639920096363,84184.54081602191
0.0024827604740025842,82254.6287950673
0.002513250934538875,80368.96466834775
0.0025441158444807566,78526.52369377932
0.002575359802392989,76726.32017947432
0.0026069874633147137,74967.3858441895
0.002639003539453003,73248.77460418966
0.0026714128008849375,71569.56206442948
0.0027042200762682975,69928.84953377377
0.002737430253560985,68325.74538595713
0.0027710482807492822,66759.39197236195
0.0028050791665850507,65228.946793209114
0.002839527981331988,63733.58666274157
0.0028743998575210426,62272.507266547706
0.002909699990715113,60844.92665512226
0.0029454336402831354,59450.06902607789
0.002981606130183674,58087.18814091746
0.0030182228497581433,56755.55094211449
0.0030552892545337596,55454.44117729949
0.003092810867036367,54183.15901393185
0.003130793277613234,52941.0240791792
0.0031692421452659617,51727.36134885226
0.00320816319849362,50541.52152216863
0.0032475622361462344,49382.866767130174
0.003287445128288757,48250.77387387296
0.003327817817075652,47144.63696157997
0.0033686863176362117,46063.854912521245
0.003410056718970756,45007.849515970025
0.003451935184857829,43976.052774326396
0.003494327954772544,42967.909711139444
0.0035372413448162016,41982.88078176926
0.003580681748657326,41020.43068308988
0.003624655638484258,40080.044511020365
0.0036691695659694487,39161.21645636275
0.0037142301632455896,38263.45230544426
0.0037598441438937372,37386.271586792376
0.003806018303943571,36529.19760611629
0.0038527595228859306,35691.77183464587
0.0039000747646977946,34873.543842787476
0.003947971078879844,34074.07572569408
0.003996455601506764,33292.93302098811
0.004045535556290454,32529.697822569105
0.004095218255656284,31783.959605933906
0.004145511101832575,31055.31926164954
0.0041964215879534555,30343.380817917223
0.00424795729917527,29647.763392301633
0.004300125913806685,28968.09283008373
0.004352935204452685,28304.005380308157
0.004406393039172611,27655.140151624684
0.004460507382652424,27021.15000531152
0.004515286297391364,26401.69393425842
0.004570737944903181,25796.44041345278
0.004626870586932124,25205.060524147164
0.004683692586683854,24627.237881825407
0.0047412124100714775,24062.66169034216
0.004799438626976888,23511.029795618557
0.004858379912527593,22972.042418953428
0.004918045048389216,22445.411205391738
0.004978442924073882,21930.854308483616
0.005039582538264667,21428.092097459805
0.005101473000156311,20936.855597575828
